# wavelength,transmittance
4.369189999999999827e+02,5.667901150785399720e-04
4.379189999999999827e+02,9.586100312326399945e-04
4.389180000000000064e+02,1.422219266885200095e-03
4.399180000000000064e+02,1.774362736461399925e-03
4.409170000000000300e+02,1.775929285513299944e-03
4.419170000000000300e+02,1.589308367587900003e-03
4.429159999999999968e+02,1.519771155190799937e-03
4.439149999999999636e+02,1.636766530899399965e-03
4.449149999999999636e+02,1.700474903320699921e-03
4.459140000000000441e+02,1.630730073095999896e-03
4.469140000000000441e+02,2.150580102403700129e-03
4.479130000000000109e+02,3.815966669121100170e-03
4.489119999999999777e+02,5.469151955156999721e-03
4.499119999999999777e+02,4.907520917383599926e-03
4.509109999999999445e+02,2.649285648968999988e-03
4.519109999999999445e+02,1.391698780489899947e-03
4.529100000000000250e+02,2.399829752186900030e-03
4.539089999999999918e+02,3.863021973365099795e-03
4.549089999999999918e+02,4.172531026138799615e-03
4.559080000000000155e+02,3.128980195717799995e-03
4.569080000000000155e+02,2.011073830581599966e-03
4.579069999999999823e+02,1.987096348339299941e-03
4.589069999999999823e+02,2.191420037651999921e-03
4.599060000000000628e+02,1.840684550046799975e-03
4.609050000000000296e+02,1.138528075011699956e-03
4.619050000000000296e+02,7.594274011401999603e-04
4.629039999999999964e+02,8.767852284724300367e-04
4.639039999999999964e+02,1.124922258026800001e-03
4.649029999999999632e+02,1.134137050203100046e-03
4.659020000000000437e+02,1.146253524601299973e-03
4.669020000000000437e+02,1.596365902893400000e-03
4.679010000000000105e+02,2.472642409824100159e-03
4.689010000000000105e+02,3.006841305305099892e-03
4.698999999999999773e+02,2.603962680456000170e-03
4.708990000000000009e+02,1.798788807954499911e-03
4.718990000000000009e+02,1.404025145690800070e-03
4.728979999999999677e+02,1.675508744470299892e-03
4.738979999999999677e+02,2.177489295466000091e-03
4.748970000000000482e+02,2.348692033346900208e-03
4.758970000000000482e+02,2.082955883294599839e-03
4.768960000000000150e+02,1.866000017717400067e-03
